Status,SourceColumn,SourceType,SourceNullable,SourceLength,TargetColumn,TargetType,TargetRequired,MatchType,Confidence,Transformation,Rationale
Accepted,MigrantCaseID,BIGINT,False,,m360_caseid,Uniqueidentifier,True,AI-Custom,0.945,,Exact name match with compatible type (Uniqueidentifier).
Accepted,CaseGUID,NVARCHAR,True,255,m360_externalcasenumber,String,False,AI-Custom,0.84,,Strong semantic match; case identifier is often stored as GUID/number.
Accepted,CaseNo,NVARCHAR,False,32,m360_primaryreferencenumber,String,False,AI-Custom,0.84,,Semantic match; 'CaseNo' refers to a reference number.
Accepted,Category,NVARCHAR,True,50,m360_category,Lookup,False,AI-Custom,0.84,,Strong semantic match with expected attribute.
Accepted,ReferralDate,DATETIME,True,,m360_referraldate,DateTime,False,AI-Custom,0.84,,Strong semantic match with the date format.
Accepted,xMFID,NVARCHAR,True,20,m360_xmifid,String,False,AI-Custom,0.84,,Good mapping for unique identifier.
Accepted,RegistrationDate,DATETIME,False,,m360_created_on_date,DateTime,False,AI-Custom,0.735,,Good business logic match; date represents when a case is created.
Accepted,SendingMission,NVARCHAR,True,5,m360_managing_mission,Lookup,False,AI-Custom,0.735,,Good logical association; SendingMission relates to managing missions.
Accepted,SecondarySource,NVARCHAR,True,50,m360_secondary_source,Lookup,False,AI-Custom,0.735,,Good logical mapping; secondary sources are relevant.
Accepted,SecondaryReferenceNo,NVARCHAR,True,50,m360_secondaryreferencenumber,String,False,AI-Custom,0.735,,Good business logic match; refers to a secondary reference.
Accepted,ReferralAgency,NVARCHAR,True,50,m360_referral_entity,Lookup,False,AI-Custom,0.735,,Good match; both refer to agency information.
Accepted,ReferralEntity,NVARCHAR,True,10,m360_referralagencyid,Lookup,False,AI-Custom,0.735,,Good mapping; entity refers to referral agency.
Accepted,Location,NVARCHAR,True,50,m360_caselocation,String,False,AI-Custom,0.735,,Good business logic match; directly related to location.
Accepted,LocationCountry,NVARCHAR,True,3,m360_caselocationcountryid,Lookup,False,AI-Custom,0.735,,Good mapping; country information aligns with location.
Accepted,PromissoryNoteCategory,NVARCHAR,True,10,m360_promisory_note_category,Lookup,False,AI-Custom,0.735,,Business logic match; aligns with category types.
Accepted,FinalDestination,NVARCHAR,True,5,m360_final_destination,Lookup,False,AI-Custom,0.735,,Strong match to final destination attributes.
